step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,9839.64,C1231006815,170136.0,160296.36,M1979787155,0.0,0.0,0,0
1,PAYMENT,1864.28,C1666544295,21249.0,19384.72,M2044282225,0.0,0.0,0,0
1,TRANSFER,181.0,C1305486145,181.0,0.0,C553264065,0.0,0.0,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,PAYMENT,11668.14,C2048537720,41554.0,29885.86,M1230701703,0.0,0.0,0,0
1,PAYMENT,7817.71,C90045638,53860.0,46042.29,M573487274,0.0,0.0,0,0
1,CASH_IN,5000.0,C123456789,10000.0,15000.0,C987654321,20000.0,15000.0,0,0
1,DEBIT,2137.89,C712410124,41720.0,39582.11,C195600860,41898.0,44035.89,0,0
1,CASH_OUT,229133.94,C905088486,15325.0,0.0,C476402209,5083.0,51513.44,0,0
1,PAYMENT,1563.82,C761750706,450.0,0.0,M348934600,0.0,0.0,0,0
2,CASH_OUT,185000.0,C2142674773,185000.0,0.0,C1234560000,0.0,185000.0,1,0
2,TRANSFER,192365.95,C2114264890,192365.95,0.0,C2053967711,0.0,0.0,1,0
2,PAYMENT,4024.36,C1265012928,2671.0,0.0,M1176932104,0.0,0.0,0,0
2,CASH_IN,25000.0,C333444555,5000.0,30000.0,C777888999,50000.0,25000.0,0,0
2,PAYMENT,3000.0,C444555666,80000.0,77000.0,M999888777,0.0,0.0,0,0
3,CASH_OUT,470000.0,C555666777,470000.0,0.0,C888999000,0.0,470000.0,1,0
3,PAYMENT,1200.0,C666777888,50000.0,48800.0,M111222333,0.0,0.0,0,0
3,DEBIT,5337.77,C777888999,41720.0,36382.23,C195600860,41898.0,47235.77,0,0
3,TRANSFER,350000.0,C888999000,350000.0,0.0,C111222333,0.0,350000.0,1,0
3,PAYMENT,8500.0,C999000111,120000.0,111500.0,M222333444,0.0,0.0,0,0
