step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,balance_error_orig,balance_error_dest,drain_flag,zero_orig_after,type_encoded,amount_log,high_amount_flag,orig_txn_count_1h,orig_txn_sum_1h,dest_in_degree_1h,fraud_score
373,CASH_OUT,89006.99,C631508948,4000.0,0.0,C2050049667,0.0,89006.99,0,0,-85006.99,0.0,1,1,1,11.396481419965616,0,0,0.0,0,0.6680716469807579
380,CASH_OUT,89894.57,C776085257,5683.0,0.0,C199587198,1017406.29,1107300.86,0,0,-84211.57,0.0,1,1,1,11.406403942271146,0,0,0.0,1,0.6680716469807579
546,CASH_OUT,88700.85,C1915367501,3420.0,0.0,C357790827,0.0,88700.85,0,0,-85280.85,0.0,1,1,1,11.393036024900914,0,0,0.0,0,0.6680716469807579
379,CASH_OUT,132282.32,C688565010,5625.0,0.0,C745580013,400680.39,532962.71,0,0,-126657.32,0.0,1,1,1,11.792701265057156,0,0,0.0,0,0.5923007995602246
374,CASH_OUT,150414.71,C1896298364,0.0,0.0,C1403159167,1366446.56,1516861.26,0,0,-150414.71,0.010000000009313226,0,1,1,11.921158139830089,0,0,0.0,0,0.5830171224434318
379,CASH_OUT,149926.9,C360343177,0.0,0.0,C1688239422,715552.13,865479.02,0,0,-149926.9,0.010000000009313226,0,1,1,11.917909790854473,0,0,0.0,0,0.5830171224434318
374,CASH_OUT,89843.73,C396300587,5974.0,0.0,C1748933020,968003.47,1057847.21,0,0,-83869.73,-0.010000000009313226,1,1,1,11.405838237180458,0,0,0.0,0,0.5233115885717681
398,CASH_OUT,112559.85,C1407569382,0.0,0.0,C90841996,632965.55,745525.39,0,0,-112559.85,0.010000000009313226,0,1,1,11.631249243287831,0,0,0.0,0,0.5194787618625
546,CASH_OUT,112433.91,C2083093258,0.0,0.0,C923889685,187422.53,299856.43,0,0,-112433.91,0.010000000009313226,0,1,1,11.630129755408124,0,0,0.0,0,0.5194787618625
684,CASH_OUT,111930.49,C1792506096,0.0,0.0,C1736974955,682388.85,794319.33,0,0,-111930.49,0.010000000009313226,0,1,1,11.625642266686071,0,0,0.0,0,0.5194787618625
